ID,Left_Lip_X,Left_Lip_Y,Right_Lip_X,Right_Lip_Y,Middle_Inner_Top_Lip_Y,Middle_Inner_Bottom_Lip_Y,Lip_Width,Inner_Lip_Height,Outer_Lip_Height
1,594,227,668,230,222,223,74,1,41
2,577,221,655,224,216,217,78,1,42
3,577,207,648,209,204,204,71,0,43
4,578,207,648,208,203,204,70,1,43
5,579,207,649,208,202,203,70,1,44
6,578,206,651,207,201,202,73,1,42
7,562,183,671,185,182,207,109,25,54
8,568,181,675,184,182,208,107,26,53
9,570,180,678,183,179,206,108,27,55
10,566,183,676,187,181,209,110,28,57
11,576,197,664,200,190,211,88,21,57
12,577,199,661,202,195,210,84,15,52
13,583,201,659,205,197,198,76,1,46
14,584,200,661,204,195,197,77,2,47
15,585,201,662,204,195,196,77,1,45
16,586,200,662,202,195,196,76,1,46
17,585,199,659,203,195,196,74,1,46
18,587,198,662,201,194,195,75,1,44
19,586,197,662,200,192,195,76,3,44
20,586,194,663,198,189,197,77,8,51
21,595,194,652,198,189,196,57,7,59
22,610,202,682,204,200,201,72,1,51
23,608,202,680,204,199,200,72,1,50
